model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,recall_melanoma
efficientnet,0.6186440677966102,0.6552951879038835,0.5972222222222222,0.5777572947507588,0.8937855214549588,0.25
resnet50,0.5932203389830508,0.6580103359173126,0.5763888888888888,0.5507669773206496,0.8588738514729563,0.1875
vit,0.5423728813559322,0.5980756101723844,0.5347222222222222,0.49285311426847045,0.9118132518707966,0.0625
